#,Time,Source MAC,Destination MAC,Source IP,Destination IP,Protocol,Source Port,Destination Port,Length,TTL,TCP Flags,UDP Length,UDP Checksum,HTTP Method,HTTP Host,HTTP Path,HTTP Status,DNS ID,DNS QR,DNS Opcode,DNS QName,DNS QType,DNS AnsName,DNS AnsRData,DNS AnsType,ICMP Type,ICMP Code,ARP Opcode,ARP HW Src,ARP IP Src,ARP HW Dst,ARP IP Dst,DHCP Msg Type,SNMP Community,SNMP PDU Type,SNMP ReqID,SNMP OID,SNMP Value,TLS Content Type,TLS Version,TLS Handshake Type
315,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x7dbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x85ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x6f53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x1da8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xb3ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xca30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xe4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xa87f,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xb6a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x8bca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xac77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xdac0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x6182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xe612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x7caf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x9741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xb80c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0x30df,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2025-05-13 23:23:45,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,172.217.138.70,192.168.1.34,UDP,443,54438,1292,58,,1258,0xbd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2025-05-13 23:23:45,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.34,172.217.138.70,UDP,54438,443,74,128,,40,0xf923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
