timestamp,source_mac,destination_mac,source_ip,destination_ip,source_port,destination_port,protocol,length,ttl,tcp_flags,tcp_window,icmp_type,icmp_code,dns_query,http_method,http_host,http_path,packet_direction
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,84.187.45.113,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,84.187.45.113,192.168.1.33,N/A,N/A,6,72,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,79.137.248.21,51621,53,DNS,87,128,N/A,N/A,N/A,N/A,prod.otel.kaizen.nvidia.com.,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,13229,25,TCP,130,64,FIN SYN,8192,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c4:8b:66:bb:20:1c,ff:ff:ff:ff:ff:ff,192.168.1.37,255.255.255.255,6537,6537,UDP,245,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,8.8.4.4,51621,53,DNS,87,128,N/A,N/A,N/A,N/A,prod.otel.kaizen.nvidia.com.,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,8.8.4.4,192.168.1.33,53,51621,DNS,135,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:17,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,35.73.6.249,4774,443,TCP,62,128,SYN,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:17,00:00:00:00:00:00,ff:ff:ff:ff:ff:ff,231.254.68.134,192.168.1.33,N/A,N/A,6,130,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
